period,year,month,data_points,spy_return_pct,spy_start_price,spy_end_price,bb_return_pct,bb_trades,bb_win_rate,bb_beats_spy,outperformance,bb_sharpe,bb_max_drawdown
2008-01,2008,1,4050,8.39188442409411,126.67,137.3,-2.9096739526843867,44,52.27272727272727,False,-11.301558376778498,-0.12839509174882888,-4.254277600359318
2008-02,2008,2,12555,-2.981069123086976,137.87,133.76,1.470544220784729,139,66.90647482014388,True,4.4516133438717045,0.01491266172523022,-1.4906599958885016
2008-03,2008,3,11835,-0.9611774423669004,133.17,131.89,2.0930840507140833,125,62.4,True,3.0542614930809835,0.03437187929690729,-2.0906070109756083
2008-04,2008,4,12240,3.9978958442924726,133.07,138.39,0.7038421776150132,122,63.114754098360656,False,-3.2940536666774594,-0.012325062280126921,-1.7694241682595664
2008-05,2008,5,12960,1.321872291245314,138.44,140.27,-0.7971568887086358,142,65.49295774647888,False,-2.11902917995395,-0.09761148208426358,-2.0390370707133223
2008-06,2008,6,11745,-8.425118008868546,139.82,128.04,-0.2533209170212152,123,56.09756097560976,True,8.171797091847333,-0.07058749615125186,-1.5295732959847053
2008-07,2008,7,12195,0.20541992573280013,126.57,126.83,3.167692683840791,129,64.34108527131784,True,2.9622727581079906,0.07340270308110128,-1.5800631935006648
2008-08,2008,8,12960,1.2032085561497337,127.16,128.69,0.15484489718890423,130,70.76923076923077,False,-1.0483636589608294,-0.04739647812716567,-1.4150542028299253
2008-09,2008,9,11745,-10.671177058506954,130.07,116.19,6.849865610616983,119,59.66386554621849,True,17.521042669123936,0.07449407392359747,-2.730296166429674
2008-10,2008,10,13365,-15.989583333333336,115.2,96.78,5.517785094311874,130,61.53846153846154,True,21.507368427645208,0.0557046627586881,-6.805566365237666
2008-11,2008,11,11295,-7.243087082129588,96.92,89.9,8.77869561365372,151,48.34437086092716,True,16.02178269578331,0.11355687885450455,-4.720624132813303
2008-12,2008,12,12780,2.299771167048044,87.4,89.41,8.96585151063282,138,60.86956521739131,True,6.666080343584777,0.11656251336915797,-4.303832943968227
2009-01,2009,1,12555,-8.395851721094438,90.64,83.03,0.5110056141223747,138,61.59420289855072,True,8.906857335216813,-0.011953828892212678,-3.9020351402451867
2009-02,2009,2,11295,-9.559995097438408,81.59,73.79,0.3110684956136352,126,61.904761904761905,True,9.871063593052043,-0.016001395210434175,-3.9482082321203054
2009-03,2009,3,11955,9.887982298437272,72.31,79.46,5.263218072349727,130,59.23076923076923,False,-4.624764226087544,0.07847630935079682,-3.9127732739935155
2009-04,2009,4,11805,11.290733197556014,78.56,87.43,3.1253971877166857,130,66.92307692307692,False,-8.165336009839328,0.07268476415223901,-1.972312670300477
2009-05,2009,5,12150,6.067544361763036,87.35,92.65,0.3098118053900945,137,62.77372262773723,False,-5.757732556372941,-0.027295636532493433,-1.8845314890563272
2009-06,2009,6,11775,-1.5817035374585762,93.57,92.09,5.87971031260282,130,70.76923076923077,True,7.461413850061397,0.25767317298529474,-0.6430610550447693
2009-07,2009,7,12825,6.889465714903747,92.46,98.83,4.5011370521710194,141,66.66666666666666,False,-2.388328662732728,0.12597022510940536,-1.265683771787058
2009-08,2009,8,11370,2.6951207293858306,99.81,102.5,2.489994981001411,127,71.65354330708661,False,-0.20512574838441983,0.09154084737647938,-0.8449401298614508
2009-09,2009,9,11775,3.4384796238244566,102.08,105.59,2.0342229005205414,136,74.26470588235294,False,-1.4042567233039154,0.03588619141346086,-0.9630920984058757
2009-10,2009,10,12540,-1.5298365640440892,105.24,103.63,1.3162910163570705,144,63.888888888888886,True,2.8461275804011597,0.004871995314497395,-2.9306680083684595
2009-11,2009,11,11370,5.45646336785577,104.28,109.97,2.4471794700397553,132,68.93939393939394,False,-3.0092838978160152,0.06829139052707436,-1.3886900707214886
2009-12,2009,12,12615,0.3511931562359303,111.05,111.44,1.7948915729339654,154,55.84415584415584,True,1.4436984166980351,0.04255831910380103,-0.5861279353922388
2010-01,2010,1,10980,-4.439106841028374,112.41,107.42,1.2216067079986819,111,63.06306306306306,True,5.660713549027055,0.016801657250997852,-1.676578318444294
2010-02,2010,2,10980,2.2811230144070915,108.28,110.75,2.6037309048573367,105,71.42857142857143,True,0.3226078904502449,0.09380489203716369,-1.6344526905550025
2010-03,2010,3,12165,5.131200575125803,111.28,116.99,1.8557622594958734,127,66.14173228346458,False,-3.275438315629929,0.06436992358137603,-0.8193051785048249
2010-04,2010,4,12540,0.8743633276740248,117.8,118.83,1.3256488396101933,136,71.32352941176471,True,0.4512855119361685,0.016641488184662937,-0.7977224240323164
2010-05,2010,5,11370,-8.463083877448518,119.46,109.35,-3.2189251794982847,116,63.793103448275865,True,5.244158697950234,-0.07519043068773085,-6.973476424966303
2010-06,2010,6,11775,-4.906843755764625,108.42,103.1,3.3515086934401292,136,70.58823529411765,True,8.258352449204756,0.05785444061889211,-2.568385145240402
2010-07,2010,7,12540,7.02367093519596,103.08,110.32,3.1341864748068313,131,63.358778625954194,False,-3.889484460389128,0.05913585232523222,-1.5748642882930324
2010-08,2010,8,11775,-5.5694394858979015,112.04,105.8,0.8194442559181382,124,71.7741935483871,True,6.38888374181604,-0.005163870063532713,-2.7929036057874264
2010-09,2010,9,11760,6.875234170101151,106.76,114.1,2.117961249307524,120,66.66666666666666,False,-4.757272920793627,0.09627756926386509,-0.4939201044473791
2010-10,2010,10,12150,2.9636711281070713,115.06,118.47,2.066713440961911,133,76.69172932330827,False,-0.8969576871451606,0.04740951056591053,-1.1730947759304637
